statecode,area
TX,268596.46
CA,163694.74
MT,147039.71
NM,121590.30
AZ,113990.30
NV,110571.82
CO,104093.67
OR,98378.54
WY,97813.01
MI,96713.51
MN,86935.83
UT,84896.88
ID,83568.95
KS,82278.36
NE,77347.81
SD,77115.68
WA,71297.95
ND,70698.32
OK,69898.87
MO,69706.99
FL,65757.70
WI,65496.38
GA,59425.15
IL,57913.55
IA,56272.81
NY,54554.98
NC,53819.16
AR,53178.55
AL,52420.07
LA,52378.13
MI,48431.78
PA,46054.34
OH,44825.58
VA,42774.93
TN,42144.25
KY,40407.80
IN,36419.55
ME,35379.74
SC,32020.49
WV,24230.04
MD,12405.93
MA,10554.39
VT,9616.36
NH,9349.16
NJ,8722.58
CT,5543.41
DE,2488.72
RI,1544.89
