STATEFP,STCODE,STNAME,POPULATION,LATITUDE,LONGITUDE
01,AL,Alabama,4779736,+33.008097,-086.756826
02,AK,Alaska,710231,+61.399882,-148.873973
04,AZ,Arizona,6392017,+33.368266,-111.864310
05,AR,Arkansas,2915918,+35.142580,-092.655243
06,CA,California,37253956,+35.463595,-119.325359
08,CO,Colorado,5029196,+39.513420,-105.208056
09,CT,Connecticut,3574097,+41.497001,-072.870342
10,DE,Delaware,897934,+39.358946,-075.556835
11,DC,District of Columbia,601723,+38.910270,-077.014468
12,FL,Florida,18801310,+27.822726,-081.634654
13,GA,Georgia,9687653,+33.376825,-083.882712
15,HI,Hawaii,1360301,+21.115289,-157.484404
16,ID,Idaho,1567582,+44.218532,-115.178681
17,IL,Illinois,12830632,+41.286759,-088.390334
18,IN,Indiana,6483802,+40.149246,-086.259514
19,IA,Iowa,3046355,+41.946066,-093.036629
20,KS,Kansas,2853118,+38.464949,-096.462812
21,KY,Kentucky,4339367,+37.824499,-085.248467
22,LA,Louisiana,4533372,+30.722814,-091.508833
23,ME,Maine,1328361,+44.299950,-069.736482
24,MD,Maryland,5773552,+39.140769,-076.797763
25,MA,Massachusetts,6547629,+42.272291,-071.363370
26,MI,Michigan,9883640,+42.873187,-084.203434
27,MN,Minnesota,5303925,+45.203555,-093.571903
28,MS,Mississippi,2967297,+32.590954,-089.579514
29,MO,Missouri,5988927,+38.423798,-092.198469
30,MT,Montana,989415,+46.787064,-111.296213
31,NE,Nebraska,1826341,+41.174300,-097.315578
32,NV,Nevada,2700551,+37.043481,-116.191720
33,NH,New Hampshire,1316470,+43.154858,-071.461974
34,NJ,New Jersey,8791894,+40.431810,-074.432208
35,NM,New Mexico,2059179,+34.632744,-106.354349
36,NY,New York,19378102,+41.501299,-074.620909
37,NC,North Carolina,9535483,+35.543075,-079.658232
38,ND,North Dakota,672591,+47.348468,-099.309504
39,OH,Ohio,11536504,+40.455191,-082.773339
40,OK,Oklahoma,3751351,+35.598464,-096.836786
41,OR,Oregon,3831074,+44.743243,-122.585214
42,PA,Pennsylvania,12702379,+40.456756,-077.009680
44,RI,Rhode Island,1052567,+41.753609,-071.450869
45,SC,South Carolina,4625364,+34.025176,-081.011022
46,SD,South Dakota,814180,+44.014397,-099.002355
47,TN,Tennessee,6346105,+35.808090,-086.359136
48,TX,Texas,25145561,+30.905244,-097.365594
49,UT,Utah,2763885,+40.401359,-111.927035
50,VT,Vermont,625741,+44.094874,-072.816417
51,VA,Virginia,8001024,+37.810313,-077.811160
53,WA,Washington,6724540,+47.330750,-121.619994
54,WV,West Virginia,1852994,+38.795594,-080.731308
55,WI,Wisconsin,5686986,+43.721933,-089.018997
56,WY,Wyoming,563626,+42.697026,-107.019126
72,PR,Puerto Rico,3725789,+18.280422,-066.346513
